date,myr_usd
3/7/2016,0.246457189
3/8/2016,0.243338615
3/9/2016,0.243783504
3/10/2016,0.242777377
3/11/2016,0.24601458
3/12/2016,0.24601458
3/13/2016,0.24601458
3/14/2016,0.243397832
3/15/2016,0.240598604
3/16/2016,0.246761277
3/17/2016,0.248539835
3/18/2016,0.247310504
3/19/2016,0.247310504
3/20/2016,0.247310504
3/21/2016,0.247985139
3/22/2016,0.251774997
3/23/2016,0.248292983
3/24/2016,0.249034986
3/25/2016,0.249097019
3/26/2016,0.249097019
3/27/2016,0.249097019
3/28/2016,0.249812648
3/29/2016,0.252365917
3/30/2016,0.255787194
3/31/2016,0.258832663
4/1/2016,0.257566005
4/2/2016,0.257566005
4/3/2016,0.257566005
4/4/2016,0.255963951
4/5/2016,0.254174829
4/6/2016,0.258665293
4/7/2016,0.253839314
4/8/2016,0.255682558
4/9/2016,0.255682558
4/10/2016,0.255682558
4/11/2016,0.260078013
4/12/2016,0.26017952
4/13/2016,0.259315908
4/14/2016,0.258384585
4/15/2016,0.256541818
4/16/2016,0.256541818
4/17/2016,0.256541818
4/18/2016,0.256838322
4/19/2016,0.261478931
4/20/2016,0.257964671
4/21/2016,0.256554991
4/22/2016,0.256029487
4/23/2016,0.256029487
4/24/2016,0.256029487
4/25/2016,0.255734861
4/26/2016,0.256062269
4/27/2016,0.256937295
4/28/2016,0.257864863
4/29/2016,0.255493104
4/30/2016,0.255493104
5/1/2016,0.255493104
5/2/2016,0.255303949
5/3/2016,0.251287848
5/4/2016,0.248892441
5/5/2016,0.249252245
5/6/2016,0.250438273
5/7/2016,0.250438273
5/8/2016,0.250438273
5/9/2016,0.246761277
5/10/2016,0.247616693
5/11/2016,0.2489544
5/12/2016,0.248539835
5/13/2016,0.247966662
5/14/2016,0.247966662
5/15/2016,0.247966662
5/16/2016,0.249016389
5/17/2016,0.248818114
5/18/2016,0.245941952
5/19/2016,0.245218247
5/20/2016,0.245954052
5/21/2016,0.245954052
5/22/2016,0.245954052
5/23/2016,0.247127131
5/24/2016,0.245007962
5/25/2016,0.245881498
5/26/2016,0.246578723
5/27/2016,0.244558558
5/28/2016,0.244558558
5/29/2016,0.244558558
5/30/2016,0.24360536
5/31/2016,0.242924824
6/1/2016,0.240876779
6/2/2016,0.241370976
6/3/2016,0.245278388
6/4/2016,0.245278388
6/5/2016,0.245278388
6/6/2016,0.246366099
6/7/2016,0.246578723
6/8/2016,0.248675808
6/9/2016,0.247524753
6/10/2016,0.24539879
6/11/2016,0.24539879
6/12/2016,0.24539879
6/13/2016,0.24470818
6/14/2016,0.243961945
6/15/2016,0.24547708
6/16/2016,0.244331494
6/17/2016,0.244917944
6/18/2016,0.244917944
6/19/2016,0.244917944
6/20/2016,0.246305421
6/21/2016,0.248200551
6/22/2016,0.248231351
6/23/2016,0.253145337
6/24/2016,0.244720176
6/25/2016,0.244720176
6/26/2016,0.244720176
6/27/2016,0.244319573
6/28/2016,0.246700376
6/29/2016,0.251067042
6/30/2016,0.250941038
7/1/2016,0.250909537
7/2/2016,0.250909537
7/3/2016,0.250909537
7/4/2016,0.25111115
7/5/2016,0.24778235
7/6/2016,0.247997418
7/7/2016,0.247549266
7/8/2016,0.25
7/9/2016,0.25
7/10/2016,0.25
7/11/2016,0.251161635
7/12/2016,0.252620935
7/13/2016,0.253581852
7/14/2016,0.255761027
7/15/2016,0.25536263
7/16/2016,0.25536263
7/17/2016,0.25536263
7/18/2016,0.25252524
7/19/2016,0.249109447
7/20/2016,0.247911349
7/21/2016,0.246202335
7/22/2016,0.245567515
7/23/2016,0.245567515
7/24/2016,0.245567515
7/25/2016,0.246700376
7/26/2016,0.24805893
7/27/2016,0.247066081
7/28/2016,0.248028189
7/29/2016,0.248830512
7/30/2016,0.248830512
7/31/2016,0.248830512
8/1/2016,0.248077393
8/2/2016,0.24869436
8/3/2016,0.247463509
8/4/2016,0.249283314
8/5/2016,0.248138949
8/6/2016,0.248138949
8/7/2016,0.248138949
8/8/2016,0.247831479
8/9/2016,0.248292983
8/10/2016,0.24964425
8/11/2016,0.251098543
8/12/2016,0.249314383
8/13/2016,0.249314383
8/14/2016,0.249314383
8/15/2016,0.250645399
8/16/2016,0.251148999
8/17/2016,0.250419468
8/18/2016,0.251275212
8/19/2016,0.249314383
8/20/2016,0.249314383
8/21/2016,0.249314383
8/22/2016,0.248880029
8/23/2016,0.247665733
8/24/2016,0.248015866
8/25/2016,0.248818114
8/26/2016,0.247647345
8/27/2016,0.247647345
8/28/2016,0.247647345
8/29/2016,0.247708678
8/30/2016,0.24603273
8/31/2016,0.244289726
9/1/2016,0.244798034
9/2/2016,0.244887963
9/3/2016,0.244887963
9/4/2016,0.244887963
9/5/2016,0.24563989
9/6/2016,0.24700506
9/7/2016,0.247157693
9/8/2016,0.24547106
9/9/2016,0.24379541
9/10/2016,0.24379541
9/11/2016,0.24379541
9/12/2016,0.244468898
9/13/2016,0.242306769
9/14/2016,0.242306769
9/15/2016,0.241943285
9/16/2016,0.241925716
9/17/2016,0.241925716
9/18/2016,0.241925716
9/19/2016,0.241984263
9/20/2016,0.24189648
9/21/2016,0.243979797
9/22/2016,0.243516371
9/23/2016,0.24307245
9/24/2016,0.24307245
9/25/2016,0.24307245
9/26/2016,0.241925716
9/27/2016,0.242072135
9/28/2016,0.243676603
9/29/2016,0.242078006
9/30/2016,0.242471278
10/1/2016,0.242471278
10/2/2016,0.242471278
10/3/2016,0.243546039
10/4/2016,0.241178885
10/5/2016,0.241615921
10/6/2016,0.240789801
10/7/2016,0.240946442
10/8/2016,0.240946442
10/9/2016,0.240946442
10/10/2016,0.2421249
10/11/2016,0.239675969
10/12/2016,0.238350615
10/13/2016,0.238282457
10/14/2016,0.237569183
10/15/2016,0.237569183
10/16/2016,0.237569183
10/17/2016,0.237383083
10/18/2016,0.23847568
10/19/2016,0.240009591
10/20/2016,0.239417747
10/21/2016,0.2392001
10/22/2016,0.2392001
10/23/2016,0.2392001
10/24/2016,0.23989445
10/25/2016,0.240899995
10/26/2016,0.24042508
10/27/2016,0.238305166
10/28/2016,0.238049895
10/29/2016,0.238049895
10/30/2016,0.238049895
10/31/2016,0.238464281
11/1/2016,0.23900573
11/2/2016,0.239228725
11/3/2016,0.239532441
11/4/2016,0.237665176
11/5/2016,0.237665176
11/6/2016,0.237665176
11/7/2016,0.237580493
11/8/2016,0.239400536
11/9/2016,0.235316262
11/10/2016,0.229642227
11/11/2016,0.22707662
11/12/2016,0.22707662
11/13/2016,0.22707662
11/14/2016,0.231653064
11/15/2016,0.231117696
11/16/2016,0.229158074
11/17/2016,0.227707431
11/18/2016,0.226551875
11/19/2016,0.226551875
11/20/2016,0.226551875
11/21/2016,0.226551875
