Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Tunisia,TUN,GDP (current US$),45779494042,44360072680,42163530591,42686580021,41905540184,42491816476,46812290143,44579761023,48529595417
Türkiye,TUR,GDP (current US$),8.64E+11,8.70E+11,8.59E+11,7.79E+11,7.61E+11,7.20E+11,8.20E+11,9.07E+11,1.11E+12
Turkmenistan,TKM,GDP (current US$),35799714286,36169428571,37926285714,40765428571,45232857143,45818000000,50007428571,56542857143,59887334844
Turks and Caicos Islands,TCA,GDP (current US$),942070000,1032452000,1028941663,1128749005,1177285212,774653669.3,1045782454,1228794383,1402054391
Tuvalu,TUV,GDP (current US$),36811936.08,41629064.22,45276595.35,48015259.88,54123198.57,51746594.31,60196405.71,59065982.09,62280311.59
Uganda,UGA,GDP (current US$),32387183730,29203988696,30744473841,32927025620,35348155095,37600368240,40529788744,45565333216,49272882214
Ukraine,UKR,GDP (current US$),91030967789,93355869404,1.12E+11,1.31E+11,1.54E+11,1.57E+11,2.00E+11,1.62E+11,1.79E+11
United Arab Emirates,ARE,GDP (current US$),3.70E+11,3.69E+11,3.91E+11,4.27E+11,4.18E+11,3.49E+11,4.15E+11,5.07E+11,5.04E+11
United Kingdom of Great Britain and Northern Ireland,GBR,GDP (current US$),2.93E+12,2.69E+12,2.68E+12,2.87E+12,2.85E+12,2.70E+12,3.14E+12,3.09E+12,3.34E+12
United States of America,USA,GDP (current US$),1.83E+13,1.88E+13,1.96E+13,2.07E+13,2.15E+13,2.13E+13,2.36E+13,2.57E+13,2.74E+13
Uruguay,URY,GDP (current US$),57680327999,57480788380,65006047680,65344408987,62222387929,53668636568,60760798596,70164683290,77240831587
Uzbekistan,UZB,GDP (current US$),86196264755,86138288644,62081322740,52870108215,60283503705,60224701297,69600614987,81140823252,90889149307
Vanuatu,VUT,GDP (current US$),730870803,780889605.9,880061833.7,914736985.4,936526267.6,909421043.5,950394006.5,1022219298,1126313359
Venezuela (Bolivarian Republic of),VEN,GDP (current US$),,,,,,,,,
Viet Nam,VNM,GDP (current US$),2.39E+11,2.57E+11,2.81E+11,3.10E+11,3.34E+11,3.47E+11,3.66E+11,4.10E+11,4.30E+11
United States Virgin Islands,VIR,GDP (current US$),3663000000,3798000000,3794000000,3923000000,4121000000,4189000000,4444000000,,
Yemen,YEM,GDP (current US$),42444490074,31317825274,26842229045,21606160663,,,,,
Zambia,ZMB,GDP (current US$),21251216799,20958412538,25873601261,26311507274,23308667781,18137764931,22096416932,29163782140,28162630954
Zimbabwe,ZWE,GDP (current US$),19963120600,20548678100,17584890937,34156069918,21832234926,21509698406,28371238666,27366627153,26538273499
