Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Colombia,COL,GDP (current US$),2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.23E+11,2.70E+11,3.19E+11,3.45E+11,3.64E+11
Comoros,COM,GDP (current US$),966029600.9,1012835493,1077439757,1188797449,1195019532,1225039197,1296089480,1242519408,1352380972
Democratic Republic of the Congo,COD,GDP (current US$),37917706497,37134801555,38019264795,47568210010,51775829877,48716961860,55328482784,65801547620,66383287003
Congo,COG,GDP (current US$),12434793868,10931328150,11834473048,14773900278,13976637329,11468688141,14825690210,15817030157,15321055818
Costa Rica,CRI,GDP (current US$),56441920821,58847019610,60516044657,62420164992,64417670521,62395610760,64960725734,69243626029,86497941439
Côte d’Ivoire,CIV,GDP (current US$),45815005169,48407761037,52512343997,58522477787,60382894697,63027852805,72794636654,70173140101,78788828907
Croatia,HRV,GDP (current US$),51011170112,52740059263,56322449844,61861145806,61867157679,58221300898,69602166351,71997070660,82688842717
Cuba,CUB,GDP (current US$),87132800000,91370407864,96850649692,1.00E+11,1.03E+11,1.07E+11,,,
Curaçao,CUW,GDP (current US$),3058779218,3024690168,3033433240,3046364804,3026124134,2534327598,2739608133,3073840325,
Cyprus,CYP,GDP (current US$),19909269064,21046452116,22946583375,25597301191,25947020102,25227189745,29482912835,29250532020,32229622669
Czechia,CZE,GDP (current US$),1.88E+11,1.96E+11,2.19E+11,2.49E+11,2.53E+11,2.46E+11,2.82E+11,2.91E+11,3.31E+11
Denmark,DNK,GDP (current US$),3.03E+11,3.13E+11,3.32E+11,3.57E+11,3.46E+11,3.55E+11,4.06E+11,4.00E+11,4.04E+11
Djibouti,DJI,GDP (current US$),2424391785,2604955229,2762581334,2913466732,3088853639,3185150981,3385825229,3674298479,4098530514
Dominica,DMA,GDP (current US$),540737037,576229629.6,521551851.9,554770370.4,611537037,504214814.8,555266666.7,607159259.3,653992592.6
Dominican Republic,DOM,GDP (current US$),71164826837,75704647878,79998046306,85555390139,88941372558,78844656298,94243425938,1.14E+11,1.21E+11
Ecuador,ECU,GDP (current US$),97209558000,97671433000,1.04E+11,1.07E+11,1.08E+11,95865472000,1.07E+11,1.17E+11,1.19E+11
Egypt,EGY,GDP (current US$),3.29E+11,3.32E+11,2.48E+11,2.63E+11,3.19E+11,3.84E+11,4.25E+11,4.77E+11,3.96E+11
El Salvador,SLV,GDP (current US$),23438240000,24191430000,24979190000,26020850000,26881140000,24921190000,29043140000,31988920000,34015620000
Equatorial Guinea,GNQ,GDP (current US$),13185496881,11240808848,12200913879,13097012134,11364133550,9893816008,12215878033,13486788879,12116922539
Eritrea,ERI,GDP (current US$),,,,,,,,,
Estonia,EST,GDP (current US$),22890762090,24072829277,26924385103,30624720196,31290453294,31330419851,36864792512,37921480882,40744848828
Eswatini,SWZ,GDP (current US$),4063245671,3816019193,4402969226,4666598024,4495267266,3982236694,4850842541,4790922789,4597855845
Ethiopia,ETH,GDP (current US$),64589328551,74296745208,81770886826,84269196626,95912607722,1.08E+11,1.11E+11,1.27E+11,1.64E+11
European Union,EUU,GDP (current US$),1.36E+13,1.39E+13,1.48E+13,1.60E+13,1.57E+13,1.54E+13,1.73E+13,1.68E+13,1.83E+13
Faroe Islands,FRO,GDP (current US$),2573905971,2813278869,2980057378,3188600927,3266432734,3262045883,3655063938,3555929833,
Fiji,FJI,GDP (current US$),4682479894,4930213644,5353469174,5581425327,5444407198,4432466220,4305031650,4979979531,5494797541
Finland,FIN,GDP (current US$),2.35E+11,2.41E+11,2.56E+11,2.76E+11,2.69E+11,2.72E+11,2.96E+11,2.82E+11,3.00E+11
France,FRA,GDP (current US$),2.44E+12,2.47E+12,2.60E+12,2.79E+12,2.73E+12,2.65E+12,2.96E+12,2.78E+12,3.03E+12
